contin_Number,EM_series,pre,post,type,sections,partner_Number,post1,post2,post3,post4
4780,N930,[AIZL],"RIAL,SMBVL,SMBDL",chemical,3,3,RIAL,SMBVL,SMBDL,
4779,N930,[AIZL],"SMBVL,SMBDL",chemical,3,2,SMBVL,SMBDL,,
4778,N930,ADFL,"SMBVL,RIAL",chemical,6,2,SMBVL,RIAL,,
8285,N930,OLLR,"AVEL,[CEPDR]",chemical,1,2,AVEL,[CEPDR],,
4777,N930,[CEPVL],SIAVL,chemical,1,1,SIAVL,,,
4776,N930,[CEPVL],SIAVL,chemical,3,1,SIAVL,,,
4774,N930,[AUAL],"uncle,RIAL",chemical,1,2,uncle,RIAL,,
1792,N930,CEMVR,"[AVBR],AVDL,[AVBL]",chemical,3,3,[AVBR],AVDL,[AVBL],
8284,N930,[AVFL],"[MCML],[AVBL]",chemical,6,2,[MCML],[AVBL],,
8283,N930,RIS,"RMED,AVEL",chemical,1,2,RMED,AVEL,,
4771,N930,CEMVR,"AVDL,[AVBL]",chemical,3,2,AVDL,[AVBL],,
4770,N930,[AUAL],"uncle,RIAL",chemical,1,2,uncle,RIAL,,
4769,N930,[AUAL],"RIAL,RIBL",chemical,5,2,RIAL,RIBL,,
4768,N930,[AUAL],RIAL,chemical,1,1,RIAL,,,
4767,N930,[AUAL],"RIAL,RIBL",chemical,5,2,RIAL,RIBL,,
4766,N930,ADFR,"RIAR,AIZR",chemical,2,2,RIAR,AIZR,,
4764,N930,RMED,mus-V,chemical,2,1,mus-V,mus-V,,
4763,N930,RMED,"mus-V,SMDDR",chemical,2,2,mus-V,SMDDR,,
4761,N930,SMBVR,mus-V,chemical,7,1,mus-V,mus-V,,
4760,N930,SMBVR,"mus-V,mus-V",chemical,1,2,mus-V,mus-V,,
4759,N930,SMBVR,"mus-V,mus-V",chemical,1,2,mus-V,mus-V,,
4758,N930,SMBVR,mus-V,chemical,2,1,mus-V,mus-V,,
4757,N930,SMBVR,mus-V,chemical,3,1,mus-V,mus-V,,
10443,N930,[ASER],"neuron5,AIYR",chemical,1,2,neuron5,AIYR,,
4756,N930,[SMDVL],"SMDDR,mus-V,GLRVR",chemical,6,3,SMDDR,mus-V,GLRVR,
4755,N930,RMED,"mus-V,mus-V",chemical,1,2,mus-V,mus-V,,
4754,N930,RMED,"mus-V,GLRVR",chemical,1,2,mus-V,GLRVR,,
8204,N930,[AIYL],"RIAL,[AIZL]",chemical,5,2,RIAL,[AIZL],,
4753,N930,RMED,mus-V,chemical,2,1,mus-V,mus-V,,
8282,N930,obj399267,AVEL,chemical,2,1,AVEL,,,
8281,N930,NRDfrag,"SMDDL,AVEL",chemical,3,2,SMDDL,AVEL,,
4751,N930,[CEMVL],"RIBL,RIAL",chemical,3,2,RIBL,RIAL,,
4750,N930,[AIYL],"RIBL,[CEMVL]",chemical,1,2,RIBL,[CEMVL],,
4749,N930,[AIYL],"RIBL,[CEMVL]",chemical,1,2,RIBL,[CEMVL],,
4748,N930,RIBL,"RIAL,[CEMVL]",chemical,6,2,RIAL,[CEMVL],,
4747,N930,obj164575,"ADFR,RIAR",chemical,4,2,ADFR,RIAR,,
4745,N930,OLLR,"AVEL,RIBR",chemical,2,2,AVEL,RIBR,,
8034,N930,AIZR,"AVEL,[AIBL]",chemical,11,2,AVEL,[AIBL],,
4744,N930,OLLR,"AVEL,RIBR",chemical,3,2,AVEL,RIBR,,
8033,N930,AIZR,"AVEL,[AVKR]",chemical,2,2,AVEL,[AVKR],,
2188,N930,AIZR,"AVEL,[AIBL]",chemical,3,2,AVEL,[AIBL],,
8280,N930,[ASGR],[AIAR],chemical,2,1,[AIAR],,,
4740,N930,RICL,"SMDDL,AVAR",chemical,1,2,SMDDL,AVAR,,
4739,N930,RIBL,"RIS,AVER",chemical,1,2,RIS,AVER,,
4738,N930,RIS,"AVER,RIBL",chemical,2,2,AVER,RIBL,,
4737,N930,RIAL,"RIVL,SMDDR",chemical,2,2,RIVL,SMDDR,,
4736,N930,RIAL,"SMDDR,[SMDVL]",chemical,1,2,SMDDR,[SMDVL],,
4735,N930,RIAL,"SMDDR,[SMDVL]",chemical,3,2,SMDDR,[SMDVL],,
4734,N930,RIAL,"RMDVL,[SIAVR]",chemical,1,2,RMDVL,[SIAVR],,
4733,N930,RIAL,"RMDVL,[SIAVR]",chemical,2,2,RMDVL,[SIAVR],,
4732,N930,RMED,"RIBL,SMDDL",chemical,3,2,RIBL,SMDDL,,
4731,N930,[ASKR],[AIAR],chemical,1,1,[AIAR],,,
4730,N930,[ASGR],[AIAR],chemical,2,1,[AIAR],,,
4729,N930,RIBL,"[RIMR],SMDDL",chemical,2,2,[RIMR],SMDDL,,
4728,N930,[ASGR],[AIAR],chemical,5,1,[AIAR],,,
4727,N930,[ASGR],"AIBR,[AIAR]",chemical,3,2,AIBR,[AIAR],,
8279,N930,OLLR,"RMDDR,AVEL",chemical,1,2,RMDDR,AVEL,,
4725,N930,RIAL,"SMDDR,[SMDVL]",chemical,1,2,SMDDR,[SMDVL],,
4724,N930,RIS,"RIBR,AVEL",chemical,1,2,RIBR,AVEL,,
4723,N930,RIH,"AVEL,RIS",chemical,1,2,AVEL,RIS,,
4722,N930,RIH,"RIBR,CEMVR",chemical,2,2,RIBR,CEMVR,,
4721,N930,RIAL,"SMDDR,[SMDVL]",chemical,2,2,SMDDR,[SMDVL],,
4720,N930,RIAL,"SMDDR,[SMDVL]",chemical,1,2,SMDDR,[SMDVL],,
4719,N930,[SMDVL],"RIAR,RIAL",chemical,6,2,RIAR,RIAL,,
4718,N930,RIAL,"SMDDR,[SMDVL]",chemical,2,2,SMDDR,[SMDVL],,
4717,N930,RIAL,"RMDVL,[SIAVR]",chemical,1,2,RMDVL,[SIAVR],,
4716,N930,RIAL,"RMDVL,[SIAVR]",chemical,4,2,RMDVL,[SIAVR],,
4715,N930,RIAL,"RMDVL,[SIAVR]",chemical,1,2,RMDVL,[SIAVR],,
4714,N930,RIVL,"SMDDR,RIAL,[SIAVR]",chemical,3,3,SMDDR,RIAL,[SIAVR],
7357,N930,RIVL,SAADR,chemical,2,1,SAADR,,,
4713,N930,[RICR],"AVAL,SMBDR",chemical,2,2,AVAL,SMBDR,,
4712,N930,[RICR],"AVAL,SMDDR",chemical,1,2,AVAL,SMDDR,,
4711,N930,[RICR],"[AIBL],AVAL",chemical,3,2,[AIBL],AVAL,,
4710,N930,[RICR],"[AIBL],AVAL",chemical,2,2,[AIBL],AVAL,,
4708,N930,[RICR],"[AIBL],AVAL",chemical,1,2,[AIBL],AVAL,,
4707,N930,[RICR],"[AIBL],AVAL",chemical,1,2,[AIBL],AVAL,,
4706,N930,IL2VL,"RIPL,IL1VL",chemical,1,2,RIPL,IL1VL,,
4705,N930,IL2VL,"RIPL,IL1VL",chemical,2,2,RIPL,IL1VL,,
10186,N930,CEPVR,"[MCMR],CEMVR",chemical,1,2,[MCMR],CEMVR,,
4704,N930,OLLL,"RIBL,AVER",chemical,4,2,RIBL,AVER,,
4702,N930,RMED,"mus-V,SMDDR",chemical,12,2,mus-V,SMDDR,,
4701,N930,RMED,mus-V,chemical,2,1,mus-V,,,
4699,N930,[SMDVL],"mus-V,CEPVR",chemical,3,2,mus-V,CEPVR,,
4698,N930,RMED,mus-V,chemical,4,1,mus-V,,,
4697,N930,SMBVL,mus-V,chemical,3,1,mus-V,mus-V,,
4696,N930,SMBVL,mus-V,chemical,5,1,mus-V,mus-V,,
4695,N930,RMDVR,mus-V,chemical,1,1,mus-V,,,
4694,N930,RMDVR,"SMBVL,mus-V",chemical,1,2,SMBVL,mus-V,,
8032,N930,[MCMR],"[RIFR],[AVBR]",chemical,2,2,[RIFR],[AVBR],,
4693,N930,SMBVL,mus-V,chemical,3,1,mus-V,mus-V,,
4692,N930,[SMDVL],"SMDDR,mus-V",chemical,9,2,SMDDR,mus-V,,
4691,N930,RIAR,"RIVR,SIAVL",chemical,2,2,RIVR,SIAVL,,
4690,N930,RIAR,"SIAVL,RMDVR",chemical,3,2,SIAVL,RMDVR,,
4689,N930,SMBVR,mus-V,chemical,5,1,mus-V,,,
4686,N930,SMBVR,mus-V,chemical,1,1,mus-V,,,
4685,N930,SMBVR,"mus-V,mus-V",chemical,1,2,mus-V,mus-V,,
4684,N930,SMBVR,mus-V,chemical,6,1,mus-V,mus-V,,
4683,N930,SMBVR,mus-V,chemical,3,1,mus-V,mus-V,,
10595,N930,contin10626,"[AVDR],VGfrag",chemical,2,2,[AVDR],VGfrag,,
7356,N930,RIVL,SAADR,chemical,4,1,SAADR,,,
4682,N930,SAAVL,"[RIMR],AVAL",chemical,2,2,[RIMR],AVAL,,
8343,N930,[ASJR],[PVQR],chemical,1,1,[PVQR],,,
4681,N930,[ASGL],"AIML,AIAL",chemical,5,2,AIML,AIAL,,
4680,N930,[PVT],"[RIGR],[RIGL],[DVC]",chemical,1,3,[RIGR],[RIGL],[DVC],
4679,N930,[AFDL],[AIYL],chemical,9,1,[AIYL],,,
4678,N930,[ASGL],AIAL,chemical,9,1,AIAL,,,
4677,N930,[ASJR],[PVQR],chemical,6,1,[PVQR],,,
8342,N930,[AIMR],"AIBR,[AIAR]",chemical,2,2,AIBR,[AIAR],,
4676,N930,OLLL,SMDDL,chemical,2,1,SMDDL,,,
4675,N930,OLLL,SMDVR,chemical,1,1,SMDVR,,,
4674,N930,OLLL,SMDDL,chemical,3,1,SMDDL,,,
4673,N930,OLLR,[SMDVL],chemical,5,1,[SMDVL],,,
4672,N930,OLLR,[SMDVL],chemical,2,1,[SMDVL],,,
4671,N930,OLLR,[SMDVL],chemical,1,1,[SMDVL],,,
4670,N930,OLLR,"[SMDVL],mid8",chemical,2,2,[SMDVL],mid8,,
4669,N930,OLLR,[SMDVL],chemical,2,1,[SMDVL],,,
4668,N930,OLLR,[SMDVL],chemical,3,1,[SMDVL],,,
9102,N930,AIYR,"RIAR,AIZR",chemical,2,2,RIAR,AIZR,,
4667,N930,RIAL,"RMDVR,RMDDL",chemical,1,2,RMDVR,RMDDL,,
4666,N930,RIAL,"RMDVR,RMDDL",chemical,3,2,RMDVR,RMDDL,,
4665,N930,RIAL,"RMDVR,RMDDL",chemical,5,2,RMDVR,RMDDL,,
10639,N930,[AVFR],"[MCMR],[RIFR]",chemical,5,2,[MCMR],[RIFR],,
8278,N930,OLLR,"[CEPDR],AVEL",chemical,3,2,[CEPDR],AVEL,,
8276,N930,OLLR,"RMDVR,AVEL",chemical,5,2,RMDVR,AVEL,,
7772,N930,[PVCR],"SIBVR,[AVBL]",chemical,1,2,SIBVR,[AVBL],,
6197,N930,RMEL,mus-VR,chemical,4,1,mus-VR,,,
6196,N930,[AIZL],RIAL,chemical,6,1,RIAL,,,
8341,N930,[ASKR],[AIAR],chemical,2,1,[AIAR],,,
8340,N930,[PVQR],"[ASKR],[EF3]",chemical,1,2,[ASKR],[EF3],,
4662,N930,[ADER],RIVL,chemical,1,1,RIVL,,,
10165,N930,CEMDL,"mus-DL,[mus]",chemical,1,2,mus-DL,[mus],,
4660,N930,CEMDL,CEPDL,chemical,2,1,CEPDL,,,
4658,N930,CEMDL,mus-DL,chemical,2,1,mus-DL,mus-DL,,
4657,N930,CEMDL,"CEPDL,mus-DL",chemical,2,2,CEPDL,mus-DL,,
4656,N930,CEMDL,"mus-DL,[mus]",chemical,3,2,mus-DL,[mus],,
4655,N930,[PVR],"[AVBR],RIPR",chemical,2,2,[AVBR],RIPR,,
4654,N930,[ASKR],[AIAR],chemical,2,1,[AIAR],,,
4653,N930,[ASKR],[AIAR],chemical,3,1,[AIAR],,,
4652,N930,[ASGR],"AIBR,[AIAR]",chemical,2,2,AIBR,[AIAR],,
4651,N930,CEMVR,"BAGL,RIBR",chemical,2,2,BAGL,RIBR,,
4650,N930,RIAL,"RMDVL,[SIAVR]",chemical,3,2,RMDVL,[SIAVR],,
4649,N930,[AIYL],"RIBL,RIAL",chemical,1,2,RIBL,RIAL,,
4648,N930,[SMDVL],"RIAR,RIAL",chemical,8,2,RIAR,RIAL,,
4647,N930,[AIYL],"RIBL,[AIZL],RIAL",chemical,30,3,RIBL,[AIZL],RIAL,
4646,N930,[AIYL],"RIBL,[AIZL],RIAL",chemical,5,3,RIBL,[AIZL],RIAL,
4645,N930,[FLPL],"[AIBL],AVAL",chemical,1,2,[AIBL],AVAL,,
4644,N930,[FLPL],"[AIBL],AVAL",chemical,3,2,[AIBL],AVAL,,
4643,N930,NRVfrag9,"[AIBL],[AVKL]",chemical,3,2,[AIBL],[AVKL],,
4642,N930,[DVC],"AVAL,[AIBL]",chemical,1,2,AVAL,[AIBL],,
4641,N930,SMBVL,SAADL,chemical,1,1,SAADL,,,
4640,N930,SMBVL,SAADL,chemical,1,1,SAADL,,,
4639,N930,[ASEL],"[AWCL],[AIBL]",chemical,2,2,[AWCL],[AIBL],,
4638,N930,RIH,"[AIZL],RIAR",chemical,1,2,[AIZL],RIAR,,
7771,N930,[RIML],"ADAL,[AVBL],[AVBR]",chemical,1,3,ADAL,[AVBL],[AVBR],
4636,N930,[RIML],"[AVBL],[AVBR]",chemical,9,2,[AVBL],[AVBR],,
4635,N930,[RIGL],"[AVKL],[DVC]",chemical,7,2,[AVKL],[DVC],,
4634,N930,[RIMR],"SMDDL,SMDVR,RIBL,[SMDVL]",chemical,2,4,SMDDL,SMDVR,RIBL,[SMDVL]
4632,N930,AIYR,"RIAR,AIZR,RIBR",chemical,14,3,RIAR,AIZR,RIBR,
4630,N930,[ASGL],AIAL,chemical,15,1,AIAL,,,
4629,N930,[ASGL],AIAL,chemical,4,1,AIAL,,,
4628,N930,[ASHR],[AIAR],chemical,9,1,[AIAR],,,
4627,N930,[ASHR],[AIAR],chemical,6,1,[AIAR],,,
8339,N930,[ASHR],"[ASKR],[AIAR]",chemical,2,2,[ASKR],[AIAR],,
4624,N930,[ASGR],[AIAR],chemical,15,1,[AIAR],,,
4623,N930,[ASGR],[AIAR],chemical,3,1,[AIAR],,,
4622,N930,AFDR,"AIYR,AWAR",chemical,2,2,AIYR,AWAR,,
4621,N930,[ASER],"AIBR,AIYR",chemical,3,2,AIBR,AIYR,,
4620,N930,AIBR,"[DVA],[RIML]",chemical,1,2,[DVA],[RIML],,
4619,N930,RIAL,"SMDDL,RIAR",chemical,1,2,SMDDL,RIAR,,
4618,N930,RIAL,"SMDVR,SMDDL",chemical,5,2,SMDVR,SMDDL,,
4617,N930,NRVfrag9,"[AVKL],[AVKR]",chemical,1,2,[AVKL],[AVKR],,
4616,N930,SMBDL,"mus-DR,RMED",chemical,1,2,mus-DR,RMED,,
4615,N930,SMBDL,"mus-DR,RMED",chemical,15,2,mus-DR,RMED,,
4614,N930,SMBDL,"mus-DR,RMED",chemical,2,2,mus-DR,RMED,,
4613,N930,SMBDL,"RMED,mus-DR",chemical,1,2,RMED,mus-DR,,
4612,N930,SMBDL,"RMED,mus-DR",chemical,25,2,RMED,mus-DR,,
4611,N930,SMBDL,"mus-D,RMED,mus-DR",chemical,13,3,mus-D,RMED,mus-DR,
6873,N930,RIAR,"RMDDL,RMDVR",chemical,1,2,RMDDL,RMDVR,,
10585,N930,[ASHL],"[AVFL],RIFL",chemical,1,2,[AVFL],RIFL,,
4610,N930,[AFDL],[AIYL],chemical,3,1,[AIYL],,,
4609,N930,[AWBL],"RIBL,[AIYL]",chemical,4,2,RIBL,[AIYL],,
4608,N930,RMEL,mus-VR,chemical,1,1,mus-VR,,,
4607,N930,RMDVL,"mus-VR,RMDDR",chemical,2,2,mus-VR,RMDDR,,
4606,N930,RMDVL,"RMDDR,mus-VR",chemical,4,2,RMDDR,mus-VR,,
4605,N930,RMDVL,"mus-VR,RMDDR",chemical,7,2,mus-VR,RMDDR,,
4604,N930,RIAL,"RMDVL,RMDDR",chemical,2,2,RMDVL,RMDDR,,
4603,N930,URBL,"RMER,IL2L",chemical,1,2,RMER,IL2L,,
4602,N930,IL1R,"RMDDR,mus-VR",chemical,5,2,RMDDR,mus-VR,,
4601,N930,IL1R,"RMDDR,mus-VR",chemical,2,2,RMDDR,mus-VR,,
4600,N930,IL1R,"RMDDR,mus-VR",chemical,3,2,RMDDR,mus-VR,mus-VR,
4599,N930,RIBR,"RIAR,[AUAR]",chemical,4,2,RIAR,[AUAR],,
4598,N930,ADFR,"[AUAR],RIAR",chemical,4,2,[AUAR],RIAR,,
4597,N930,[AUAR],"RIAR,ADFR",chemical,3,2,RIAR,ADFR,,
4596,N930,[AUAR],"RIBR,RIAR",chemical,4,2,RIBR,RIAR,,
10442,N930,[ASER],"neuron5,AIYR",chemical,2,2,neuron5,AIYR,,
4594,N930,[AUAL],"ADFL,RIAL",chemical,3,2,ADFL,RIAL,,
9878,N930,RMER,mus-NRL,chemical,1,1,mus-NRL,,,
4593,N930,IL1R,"mus-VR,RMDDR",chemical,10,2,mus-VR,RMDDR,,
4592,N930,IL1R,mus-VR,chemical,1,1,mus-VR,,,
4591,N930,IL1R,"mus-VR,RMDDR,obj156738,obj156741",chemical,5,4,mus-VR,RMDDR,obj156738,obj156741
4590,N930,IL1R,"mus-VR,RMDDR",chemical,1,2,mus-VR,RMDDR,,
8275,N930,RIVR,"SIAVL,RMDVR",chemical,3,2,SIAVL,RMDVR,,
4589,N930,RMEL,"mus-VR,obj156738",chemical,7,2,mus-VR,obj156738,,
4588,N930,IL1R,"RMDVL,RMDVL",chemical,1,2,RMDVL,RMDVL,,
4587,N930,RMEL,mus-VR,chemical,3,1,mus-VR,mus-VR,,
4586,N930,RMEL,mus-VR,chemical,5,1,mus-VR,mus-VR,mus-VR,mus-VR
4585,N930,IL2L,"URBL,RMER",chemical,4,2,URBL,RMER,,
8274,N930,CEPVR,[RICL],chemical,3,1,[RICL],,,
8273,N930,[CEPDR],"AVEL,[RIBR]",chemical,2,2,AVEL,[RIBR],,
8203,N930,[AIYL],"RIBL,RIAL",chemical,3,2,RIBL,RIAL,,
8984,N930,RIVL,"RMDVL,[SIAVR]",chemical,1,2,RMDVL,[SIAVR],,
8272,N930,PVCL,"RID,NR21",chemical,1,2,RID,NR21,,
8031,N930,CEMVR,"[EF3],[AVBR],[AVFR]",chemical,3,3,[EF3],[AVBR],[AVFR],
8271,N930,[AVJL],"[MCML],ALML",chemical,2,2,[MCML],ALML,,
4579,N930,[ASGL],VC16,chemical,9,1,VC16,,,
4578,N930,[ASGL],VC16,chemical,6,1,VC16,,,
4577,N930,[AUAL],"ADFL,RIAL",chemical,2,2,ADFL,RIAL,,
4576,N930,[AUAL],"ADFL,RIAL",chemical,1,2,ADFL,RIAL,,
8338,N930,[ASKR],[AIAR],chemical,3,1,[AIAR],,,
8268,N930,OLLR,"AVEL,RIBR",chemical,1,2,AVEL,RIBR,,
8267,N930,NRD,"NRDfrag,AVEL",chemical,3,2,NRDfrag,AVEL,,
4575,N930,AWAL,"[AIZL],[AFDL]",chemical,4,2,[AIZL],[AFDL],,
4572,N930,[AUAR],"RIAR,ADFR",chemical,1,2,RIAR,ADFR,,
10407,N930,[AWCR],AIYR,chemical,1,1,AIYR,,,
10406,N930,[AWCR],"neuron5,AIYR",chemical,8,2,neuron5,AIYR,,
4568,N930,IL1VL,"RMDDL,RIPL",chemical,14,2,RMDDL,RIPL,,
8266,N930,RIS,"AVEL,[RIBR]",chemical,1,2,AVEL,[RIBR],,
8265,N930,NRD,AVEL,chemical,1,1,AVEL,,,
4567,N930,IL1VL,RIPL,chemical,1,1,RIPL,,,
4566,N930,IL1VL,"RMDDL,mus-VL",chemical,1,2,RMDDL,mus-VL,,
4565,N930,IL1VL,"RMDDL,mus-VL",chemical,6,2,RMDDL,mus-VL,,
4564,N930,IL1VL,"RIAL,RMDDL,mus-VL",chemical,3,3,RIAL,RMDDL,mus-VL,
4563,N930,IL1VL,"RMDDL,RIPL,mus-VL",chemical,3,3,RMDDL,RIPL,mus-VL,
10710,N930,PVCL,"NR21,[AVBR]",chemical,1,2,NR21,[AVBR],,
4562,N930,IL1VL,mus-VL,chemical,2,1,mus-VL,,,
4561,N930,IL1VL,"mus-VL,RMDDL,RIPL",chemical,20,3,mus-VL,RMDDL,RIPL,
4559,N930,IL1VL,"mus-VL,RMDDL",chemical,5,2,mus-VL,RMDDL,,
4558,N930,RIAL,RMDDL,chemical,3,1,RMDDL,,,
4557,N930,RIAL,RMDDL,chemical,1,1,RMDDL,,,
4556,N930,IL1VL,"mus-VL,RMDDL",chemical,1,2,mus-VL,RMDDL,,
4555,N930,IL1VL,"mus-VL,RMDDL",chemical,6,2,mus-VL,RMDDL,,
4554,N930,[RICL],"AVAL,SMDDR",chemical,6,2,AVAL,SMDDR,,
7770,N930,RIVL,"SMDDR,SAADR",chemical,2,2,SMDDR,SAADR,,
4553,N930,RIAR,"SMDVR,SMDDL",chemical,1,2,SMDVR,SMDDL,,
4552,N930,SMDVR,"RIAR,RIAL",chemical,10,2,RIAR,RIAL,,
7353,N930,RIVR,SAADL,chemical,1,1,SAADL,,,
7352,N930,SMBVL,PLNL,chemical,1,1,PLNL,,,
7351,N930,SMBVL,SAADL,chemical,2,1,SAADL,,,
4551,N930,[RIML],SAAVR,chemical,1,1,SAAVR,,,
4550,N930,RIAR,"SMDVR,SMDDL",chemical,4,2,SMDVR,SMDDL,,
4549,N930,SMDVR,RIAR,chemical,2,1,RIAR,,,
4548,N930,SMDVR,"SMDDL,RIAR",chemical,2,2,SMDDL,RIAR,,
4547,N930,RIAR,SMDVR,chemical,1,1,SMDVR,,,
10343,N930,NRVfrag9,"[AVKL],[RIGR]",chemical,1,2,[AVKL],[RIGR],,
4545,N930,RIAR,"SMDVR,SMDDL",chemical,6,2,SMDVR,SMDDL,,
7350,N930,SMBVL,"[Excretory Gland],SAADL",chemical,1,2,[Excretory Gland],SAADL,,
4544,N930,SAAVL,"AVAL,RMFR",chemical,3,2,AVAL,RMFR,,
4543,N930,SMDVR,"RIAR,RIAL",chemical,8,2,RIAR,RIAL,,
4542,N930,RIAR,"SMDVR,SMDDL",chemical,3,2,SMDVR,SMDDL,,
4541,N930,SMDVR,"SMDDL,RIAR",chemical,4,2,SMDDL,RIAR,,
4540,N930,SMDVR,"RIAR,RIAL",chemical,4,2,RIAR,RIAL,,
4539,N930,RIAR,"SMDVR,SMDDL",chemical,1,2,SMDVR,SMDDL,,
4538,N930,RIAR,"SMDVR,SMDDL",chemical,1,2,SMDVR,SMDDL,,
4537,N930,RIAL,"RMDDL,SMDVR",chemical,1,2,RMDDL,SMDVR,,
4536,N930,RIAL,"RMDDL,SMDVR",chemical,1,2,RMDDL,SMDVR,,
4535,N930,SMDVR,RIAL,chemical,3,1,RIAL,,,
4534,N930,RIAR,"RIAL,SMDVR,SMDDL",chemical,1,3,RIAL,SMDVR,SMDDL,
4533,N930,RIAL,SMDVR,chemical,1,1,SMDVR,,,
4532,N930,RIAR,"RIAL,SMDDL",chemical,1,2,RIAL,SMDDL,,
4531,N930,RIAL,"RMDDL,SMDVR",chemical,1,2,RMDDL,SMDVR,,
4530,N930,RIML,RIS,chemical,1,1,RIS,,,
4529,N930,RIS,"[RIMR],RMEV",chemical,1,2,[RIMR],RMEV,,
10240,N930,SDQR,"[AVBR],FLPL",chemical,3,2,[AVBR],FLPL,,
4527,N930,[ASKL],VC16,chemical,1,1,VC16,,,
4526,N930,RIAR,"SMDVR,RMDDL",chemical,2,2,SMDVR,RMDDL,,
4525,N930,[SMDVL],RIAR,chemical,3,1,RIAR,,,
8263,N930,OLLR,"AVEL,[CEPDR]",chemical,2,2,AVEL,[CEPDR],,
4524,N930,ADLR,"[AIAR],AIBR",chemical,4,2,[AIAR],AIBR,,
4523,N930,[AIAR],"[ASGR],AIBR",chemical,1,2,[ASGR],AIBR,,
8262,N930,RIH,"RIAR,RIBR",chemical,12,2,RIAR,RIBR,,
4522,N930,[AINL],"CEMVR,CEPVR",chemical,4,2,CEMVR,CEPVR,,
4521,N930,[CEPVL],"SIAVL,RIVR",chemical,4,2,SIAVL,RIVR,,
8261,N930,[AUAR],"RIBR,RIAR",chemical,4,2,RIBR,RIAR,,
10594,N930,[AVFL],"[MCML],[AVBL]",chemical,4,2,[MCML],[AVBL],,
10593,N930,[AVFL],"[AVBL],[MCML]",chemical,6,2,[AVBL],[MCML],,
8202,N930,ADFL,"RIAL,[AUAL]",chemical,2,2,RIAL,[AUAL],,
10584,N930,RIH,DVA,chemical,1,1,DVA,,,
4520,N930,RIAL,"SMDDR,[SMDVL]",chemical,1,2,SMDDR,[SMDVL],,
7769,N930,[RIML],"SMDDL,AIBR",chemical,2,2,SMDDL,AIBR,,
7348,N930,SMBVR,"SAADR,[PLNR]",chemical,1,2,SAADR,[PLNR],,
7347,N930,CEPVR,[RICL],chemical,2,1,[RICL],,,
4519,N930,[RIGL],"RIR,AVER",chemical,1,2,RIR,AVER,,
4518,N930,[ASGR],[AIAR],chemical,3,1,[AIAR],,,
4517,N930,RIS,"RIML,[AVKR]",chemical,2,2,RIML,[AVKR],,
4514,N930,PLNL,"SAADL,SMBVL",chemical,4,2,SAADL,SMBVL,,
4513,N930,SMBVL,SAADL,chemical,3,1,SAADL,,,
8260,N930,SMBVR,"SAADR,[PLNR]",chemical,5,2,SAADR,[PLNR],,
8259,N930,SMBVR,SAADR,chemical,2,1,SAADR,,,
10181,N930,ADLR,"AVDL,AIBR",chemical,1,2,AVDL,AIBR,,
4512,N930,rd,rdb,chemical,1,1,rdb,,,
4511,N930,[RIMR],AVAL,chemical,1,1,AVAL,,,
4510,N930,SAAVL,"AVAL,[RIMR]",chemical,3,2,AVAL,[RIMR],,
4509,N930,SAAVL,"AVAL,[RIMR]",chemical,2,2,AVAL,[RIMR],,
7346,N930,FLPL,"PVCL,AVEL",chemical,1,2,PVCL,AVEL,,
4508,N930,SAAVL,AVAL,chemical,1,1,AVAL,,,
4507,N930,SAAVL,"AVAL,[RIMR]",chemical,3,2,AVAL,[RIMR],,
4506,N930,SAAVL,"AVAL,[RIMR]",chemical,6,2,AVAL,[RIMR],,
4505,N930,SAAVL,"AVAL,[RIMR]",chemical,2,2,AVAL,[RIMR],,
4504,N930,SAAVL,"AVAL,[RIMR]",chemical,1,2,AVAL,[RIMR],,
4502,N930,SAAVL,"AVAL,[RIMR]",chemical,2,2,AVAL,[RIMR],,
4501,N930,SAAVL,"AVAL,[RIMR]",chemical,2,2,AVAL,[RIMR],,
4500,N930,SAAVL,"AVAL,[RIMR]",chemical,2,2,AVAL,[RIMR],,
4499,N930,SAAVL,"AVAL,[RIMR]",chemical,2,2,AVAL,[RIMR],,
10755,N930,NR31,"[AWCL],[AIYL]",chemical,1,2,[AWCL],[AIYL],,
4498,N930,SAAVL,"AVAL,[RIMR],RMFR",chemical,6,3,AVAL,[RIMR],RMFR,
7345,N930,RIR,[AIZL],chemical,2,1,[AIZL],,,
7344,N930,RIR,"RIAL,[AIZL]",chemical,2,2,RIAL,[AIZL],,
7343,N930,FLPL,"PVCL,AVEL",chemical,5,2,PVCL,AVEL,,
7342,N930,vc-6097,"contin6779,RVGCB10",chemical,2,2,contin6779,RVGCB10,,
7341,N930,contin6835,[SMDVL],chemical,1,1,[SMDVL],,,
10015,N930,URAVL,"RIPL,mus-VL",chemical,2,2,RIPL,mus-VL,,
4497,N930,RMDVL,mus-VR,chemical,1,1,mus-VR,,,
4496,N930,RMDVL,"RMDDR,mus-VR",chemical,1,2,RMDDR,mus-VR,,
4495,N930,RMDVL,"RMDDR,mus-VR",chemical,2,2,RMDDR,mus-VR,,
4494,N930,RIAR,"RMDDR,RMDVL",chemical,1,2,RMDDR,RMDVL,,
4493,N930,RIAR,RMDVL,chemical,2,1,RMDVL,,,
4492,N930,RIAR,"RMDDR,RMDVL",chemical,4,2,RMDDR,RMDVL,,
4491,N930,RIAL,RMDVL,chemical,2,1,RMDVL,,,
