contin_Number,EM_series,pre,post,type,sections,partner_Number,post1,post2,post3,post4
120,N2Y,PCCL,R2BR,chemical,3,1,R2BR,,,
122,N2Y,R2BR,"PHCR,R8BR",chemical,8,2,PHCR,R8BR,,
124,N2Y,R2BR,R7AR,chemical,2,1,R7AR,,,
125,N2Y,R7AR,"[CA04],R2BR",chemical,4,2,[CA04],R2BR,,
126,N2Y,R2BR,[CA04],chemical,1,1,[CA04],,,
128,N2Y,R2BR,"R7AL,R7AR",chemical,8,2,R7AL,R7AR,,
129,N2Y,R2BR,R7BL,chemical,1,1,R7BL,,,
130,N2Y,R2BR,EF3,chemical,3,1,EF3,,,
131,N2Y,R2BR,"PDB,R4BL",chemical,6,2,PDB,R4BL,,
132,N2Y,R2BR,R7AR,chemical,1,1,R7AR,,,
133,N2Y,R7AR,"R2BR,PDB",chemical,1,2,R2BR,PDB,,
134,N2Y,R2BR,"PDB,R7AR,R7BR,R7AL",chemical,3,4,PDB,R7AR,R7BR,R7AL
135,N2Y,[CA04],"R2BR,R4AR,R6AR",chemical,2,3,R2BR,R4AR,R6AR,
136,N2Y,R7AR,"R2BR,R7AL",chemical,3,2,R2BR,R7AL,,
137,N2Y,R2BR,"R7AL,R7BR,R7AR",chemical,4,3,R7AL,R7BR,R7AR,
139,N2Y,R2AR,R2AL,chemical,3,1,R2AL,,,
140,N2Y,CP07,R2AR,chemical,5,1,R2AR,,,
141,N2Y,R2AL,R2AR,chemical,2,1,R2AR,,,
142,N2Y,R2AR,R2AL,chemical,1,1,R2AL,,,
143,N2Y,R2AL,R2AR,chemical,2,1,R2AR,,,
144,N2Y,R2AR,"R2AL,R2AR",chemical,2,2,R2AL,R2AR,,
145,N2Y,R2AL,R2AR,chemical,1,1,R2AR,,,
146,N2Y,R2AL,R2AR,chemical,2,1,R2AR,,,
147,N2Y,R2AR,R2AL,chemical,1,1,R2AL,,,
148,N2Y,R2AR,R2AL,chemical,1,1,R2AL,,,
149,N2Y,R2AR,R2AL,chemical,2,1,R2AL,,,
150,N2Y,R2AR,R2AL,chemical,1,1,R2AL,,,
153,N2Y,R2AR,R2AL,chemical,1,1,R2AL,,,
155,N2Y,R2AL,R2AR,chemical,1,1,R2AR,,,
156,N2Y,R2AL,R2AR,chemical,2,1,R2AR,,,
158,N2Y,R2AR,R2AL,chemical,1,1,R2AL,,,
159,N2Y,R2AR,R2AL,chemical,1,1,R2AL,,,
160,N2Y,R2AL,R2AR,chemical,2,1,R2AR,,,
161,N2Y,R2AL,R2AR,chemical,3,1,R2AR,,,
162,N2Y,R2AR,R2AL,chemical,2,1,R2AL,,,
163,N2Y,R2AL,"R2AR,HOA",chemical,2,2,R2AR,HOA,,
164,N2Y,R2AL,"R2AR,DD06",chemical,2,2,R2AR,DD06,,
165,N2Y,R2AR,R2AL,chemical,2,1,R2AL,,,
166,N2Y,R2AL,R2AR,chemical,2,1,R2AR,,,
167,N2Y,R2AL,R2AR,chemical,4,1,R2AR,,,
168,N2Y,R2AR,R2AL,chemical,1,1,R2AL,,,
169,N2Y,R2AR,R2AL,chemical,3,1,R2AL,,,
170,N2Y,R2AR,R2AL,chemical,2,1,R2AL,,,
171,N2Y,R2AR,R2AL,chemical,2,1,R2AL,,,
172,N2Y,R2AR,R2AL,chemical,1,1,R2AL,,,
173,N2Y,R2AR,R2AL,chemical,2,1,R2AL,,,
174,N2Y,R8BR,"DD06,R2AR",chemical,1,2,DD06,R2AR,,
175,N2Y,R2AL,DD06,chemical,1,1,DD06,,,
176,N2Y,R2AR,"R2AL,DD06",chemical,6,2,R2AL,DD06,,
177,N2Y,R2AR,"DD06,R2AL",chemical,1,2,DD06,R2AL,,
178,N2Y,EF1,"DD06,R2AL",chemical,1,2,DD06,R2AL,,
179,N2Y,R2AR,"DD06,R2AL",chemical,2,2,DD06,R2AL,,
180,N2Y,R2AL,"R2AR,DD06",chemical,6,2,R2AR,DD06,,
181,N2Y,R2AL,"DD06,R2AR",chemical,3,2,DD06,R2AR,,
182,N2Y,R2AR,"DD06,R2AL",chemical,1,2,DD06,R2AL,,
184,N2Y,R2AR,R2AL,chemical,1,1,R2AL,,,
185,N2Y,R2AR,R2AL,chemical,1,1,R2AL,,,
188,N2Y,R2AL,R2AR,chemical,1,1,R2AR,,,
189,N2Y,R2AL,"R2AR,DD06",chemical,4,2,R2AR,DD06,,
190,N2Y,R2AL,R2AR,chemical,1,1,R2AR,,,
