,AS10,AS11,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVFL,AVFR,AVG,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,CA04,CA05,CA06,CA07,CA08,CA09,CP01,CP02,CP03,CP04,CP05,CP06,CP07,CP08,CP09,DA07,DA08,DA09,DB05,DB06,DB07,DD06,DVA,DVB,DVC,DVE,DVF,DX1,DX2,DX3,EF1,EF2,EF3,HOA,HOB,LUAL,LUAR,PCAL,PCAR,PCBL,PCBR,PCCL,PCCR,PDA,PDB,PDC,PDEL,PDER,PGA,PHAL,PHAR,PHBL,PHBR,PHCL,PHCR,PHDL,PHDR,PQR,PVCL,PVCR,PVDL,PVDR,PVNL,PVNR,PVQL,PVQR,PVR,PVPL,PVPR,PVT,PVV,PVWL,PVWR,PVX,PVY,PVZ,R1AL,R1BL,R1BR,R2AL,R2AR,R2BL,R2BR,R3AL,R3AR,R3BL,R3BR,R4AL,R4AR,R4BL,R4BR,R5AL,R5AR,R5BL,R5BR,R6AL,R6AR,R6BL,R6BR,R7AL,R7AR,R7BL,R7BR,R8AL,R8AR,R8BL,R8BR,R9AL,R9AR,R9BL,R9BR,SPCL,SPCR,SPDL,SPDR,SPVL,SPVR,VA10,VA11,VA12,VB06,VB07,VB08,VB09,VB10,VB11,VD11,VD12,VD13
PHCL,2218332.960585933,2510889.860244921,3172608.4367061784,3261217.39560056,2072773.9463923515,2005101.7720718249,2477582.896592606,2461400.952773712,2684429.993515225,2846587.9686115263,3869526.289519888,2247446.754930185,2177314.038590779,2104105.069012472,2161070.9615476695,2654218.1767999534,2223900.821143486,2558973.1352011007,3032747.6440656385,4059684.1971875574,3149878.585307701,2451203.8249504473,2493102.054620753,2629366.183452981,2460346.3341483492,2665110.8324678186,2735585.5362198073,2881818.6087606614,3313842.4412877024,3032864.0851436458,3361685.454887033,3283756.1997722215,3862858.967809422,2364859.1983248657,3051958.1710055014,3049494.539325244,2110762.6217256337,2566860.2664035223,2658675.5540074147,2928157.271667465,2877339.528800059,2679814.289973735,2889795.8460787646,3650028.8422520855,3188009.912119722,2023726.8823521691,2305340.8555061608,2597678.981408907,3540480.8486394803,4239748.059482628,3426971.1881476142,2363440.2312167897,2944008.0262485207,2496444.3126415676,2395417.4139301223,2046204.1808754061,2648756.9086220167,2284118.5211584717,2506622.786536798,2622512.8894692347,2687012.8930770205,2420935.9128580405,4269806.170455141,3704460.1106970333,2518071.3617782174,2394838.8878771206,2699591.5038355067,2550382.7914327076,2287615.741336361,2141852.567674726,2456088.847704094,0.0,2096877.9847038826,2187212.838681586,2244278.0495962207,2717796.2518022116,3011139.6787313297,3006058.529901084,2290411.7677148287,2367936.8684311863,2693034.0578836263,3033620.8795585786,2303907.7905350653,2538341.449481678,2919343.0978666153,2886288.9790555746,2541207.621328326,2276813.9497570284,5822397.424373815,2660999.2695536744,2615977.061882945,4594040.243346726,4099065.7090510684,3969337.1590585285,2892448.805805585,2283734.4859326486,3333480.3257273966,2573791.663738941,2557701.3989304253,2185294.7337011485,2458238.187359393,3340746.089817026,3135216.489725619,2739209.730131376,2660989.1202792493,3149027.0979005247,3050060.6324622845,2308268.362618832,2269018.5088174404,2390683.7216339493,2517308.6644290076,2215585.5205637123,2627203.2694469946,2591938.8463970385,2996912.256239242,2429999.0424905587,2801112.0586830885,2571249.8577528885,3117859.656012576,3327875.6268911697,3673688.8016929394,2283703.5270944624,2453517.2552564894,2278291.4446363132,2115597.6038418487,2165658.448746279,2598098.727637709,3071779.732152029,2570194.1776952255,2506698.681800452,2739146.048622701,2695200.80873195,2806921.9576458414,3009220.4167686277,2927439.9978215965,2473905.002135998,3088594.1873366106,3277048.6941424413,2772095.3630739716,2195258.5987944826,2218032.5209882823,2556038.486557259,2940685.483737631,3283471.2635352034,2730557.488403751,2675972.5939362007,2458972.396535303
PHCR,2062341.6898938653,2473667.9397514462,2926327.97076994,3101152.2275948995,1935087.9369620255,1808226.486985279,2363218.578493234,2344104.1114901956,2638019.0523471558,2602402.9730762695,4110386.7631462268,2108880.4182408135,2091596.9519509147,1963239.809566724,2028218.235238484,2499006.8158919173,2036399.1795447695,2383060.5485525164,2721441.3227885976,3852448.2233681264,3039076.703059214,2308743.217425365,2324804.6829058775,2436555.276505872,2439414.8938537627,2479224.750060919,2724853.623355365,2668178.865950821,3153697.549488651,2920984.1066009025,3252754.90790828,3204550.0035969107,3592995.4445808833,2216261.1749364105,2782984.9876688193,3017803.2929044794,1969979.179409074,2367349.401874073,2524435.12553592,2654369.372561328,2762295.3798311325,2600267.233670419,2762198.2182046077,3565490.716470506,3145116.7318755696,1993221.7620167362,2094819.842159908,2488020.4836244215,3245516.06386057,4085250.711121535,3344228.4874798954,2474231.532368263,2811329.849515885,2400549.418896025,2318616.9940455565,2183630.2692163307,1900529.2519638725,2150037.3740602713,2285767.677491423,2583549.893006035,2371298.060032477,2450845.230244603,4274756.246192777,3518570.5432620575,2366346.1762420638,2230199.1195355756,2543432.3572819782,2477780.918319286,2516071.9098678003,2089778.1191173675,2293474.719336253,2096877.9847038826,0.0,2129698.6895903037,2082113.0923075168,2596388.1066698674,2856569.7096421053,2848116.650565131,2163706.6048577805,2280196.6189775746,2402608.664322899,2855147.724912392,2251686.045700035,2389738.1413214873,2755018.565694295,2655640.0332706394,2744121.6295804493,2255640.153308657,5655043.331493309,2578284.093307682,2496115.254227964,4564721.111964775,4153024.7976025096,4069855.964206651,2697795.4574470525,2117380.630093476,3253635.712033322,2457227.242051696,2291037.537437344,1934667.3177981416,2223489.6798438416,3127059.1570136324,2917423.1056918846,2569994.665479991,2648775.5482586185,2915057.8846482127,2728955.9473758657,2230891.0255714776,2051485.880956271,2232839.950823936,2344800.7355087516,2047859.5645587337,2519168.969062113,2367150.6393283433,2724069.6965853493,2281575.651293388,2693203.294044089,2414811.9044989944,2858198.4058333198,3171647.0096210768,3501270.4504577555,2273909.6304348516,2425153.4705887153,2073902.1288806961,2199123.801493211,2176032.0143210483,2278827.1604969413,3088653.21522798,2422710.0544593246,2394990.4734695577,2561369.9221414337,2576624.4289104505,2514133.926645581,2920952.683729536,2656078.659376278,2313304.131654251,2932315.462027571,3117129.422966003,2554759.9844589164,2049641.0854157596,2051928.9660643493,2366780.0398794436,2768789.5807541404,3097684.5241013984,2426586.161827735,2426050.424412753,2305378.8947807234
PHDL,795758.3834662139,1057368.2232198555,1777344.7388783582,1811988.663930994,927226.5457103457,851663.3270907653,1021769.182527068,1026619.0141471595,1641163.1419555491,1669218.9646834054,3623940.3792784624,900874.0523517801,958236.3875585522,617499.5011660113,666438.595769851,1152755.1213052135,701978.920858694,1164864.9095155615,1455411.7961024947,2749182.6609273683,2027295.4564496349,1251368.9720024231,1014263.672526595,1201828.3106248248,1120089.306462967,1353387.870362412,1476286.2435265933,1625077.0410118636,1765196.8676553834,1554727.6580795965,2199367.1802916545,2193214.9486117954,2846232.1292000213,956748.5613651075,1513621.035647139,1852506.5465582118,593634.902882295,1071655.95040954,1319372.548372752,1529577.3021517037,1744344.8673672373,1273072.1709212682,1492711.4027202039,2360840.1340707117,1860390.6750904205,675971.0182260695,831371.6384633491,1086813.6167372188,1970932.0960171397,2649473.546782371,2240143.5836033886,2383730.7245967044,1707744.6173163883,942429.7659964327,1040989.8082794816,1762504.1213681248,1877308.744159193,1362113.9000948784,1436552.9650551842,1264116.3873315367,1203897.5804081967,1385663.239645776,3354111.9911836158,2208781.469101388,1010374.3784567295,908601.6556635593,1302519.2445030431,1128891.0324557545,1478584.3053307964,922247.719822039,999237.7734601089,2187212.838681586,2129698.6895903037,0.0,636564.090178851,1517230.2015123316,1502155.8681232978,1667010.1775031432,841346.797257452,1009044.8466421819,1613702.4635573023,1809340.935035836,1190570.6773122284,1352665.1580824733,1440779.948353406,1686503.9886334953,1794382.90794401,1245719.2792818677,4750128.439200919,1158559.9315686133,1209301.567432316,4347126.443973009,3836361.297043028,3017796.5134951514,1433211.209245719,699440.9752568045,2221363.722836439,1537301.498786307,1372995.0504437347,1108107.2400649781,1450324.2871234894,1850066.189425826,1703486.829376174,1371729.8117461947,1308188.8967019594,1589638.5782315251,1478783.3871435274,711949.4983306124,820634.8996546259,856355.5378934387,1033471.914974805,684660.4865898581,1100848.353566981,964112.885821652,1346976.5725803557,768917.8329057251,1303211.4674436047,980502.950045197,1513019.6872297532,1763280.16860855,2159923.791212812,1462463.1125325502,1650359.3290914553,633080.6400967008,854424.3799036917,784847.7586304694,1216836.9316435927,1582348.1253947855,1003655.802189949,1017465.0421826682,1246435.4504720196,1411012.0396246128,1424755.298284969,1783771.4766894476,1472667.0111744436,977107.726960376,1629540.3787567925,1838088.6251853828,1364455.344384042,676833.2595229575,704531.3410596221,1050052.6200019938,1433059.6508892046,1892671.608505161,1252580.3012694828,1222700.7792061896,1309738.349457846
PHDR,766488.7375776744,985117.8176504101,1787810.3975998652,1769887.2079917772,908792.3157611677,841633.6774946239,992280.1260392604,1007013.3411525812,1661249.4242771163,1595748.1966234464,3612981.969437532,962553.9778543173,1033116.8468873443,614336.4503033567,663026.6035462025,1169170.3320295415,620345.309901225,1147927.401863394,1377278.2520525088,2692313.6424087225,1991256.601063859,1305880.9497741736,902680.6566101636,1133930.5327576087,1239353.3008790587,1376376.7650969774,1534296.6473233425,1571916.8953842467,1850359.9251607,1534820.6727461738,2401826.9118161434,2232237.12751999,2871925.9354104786,942451.4573608445,1698044.2928187686,1903190.36186032,589101.1586140617,1067122.206141307,1239911.8803159003,1631450.898237415,1761116.6433060283,1364737.1507973138,1637131.3461790995,2546897.3438788312,2181108.806660437,761994.2640809198,860611.5014282417,1343298.7603330985,1944053.8445352253,2788441.2048880924,2280947.1837305087,2558686.3942546975,1790810.7623365293,913058.7858596182,1012276.8017049241,1898045.8840739233,1839778.7172718442,1487938.762922682,1355316.5861493794,1247443.8629219783,1185382.2101873641,1463053.2745898173,3327509.7927538455,2107225.0236806665,1005840.6341884967,898160.2755158464,1344457.137528254,1236888.6116921476,1468675.9060992668,1091831.5240326375,1088411.83672513,2244278.0495962207,2082113.0923075168,636564.090178851,0.0,1449201.2418233543,1473736.249702839,1675191.9796599753,825612.478610608,937939.3802563846,1751095.0413794448,1898949.1859613592,1245130.3631056403,1433641.5046296963,1410005.4763262148,1600385.145431339,1642369.224656356,1183368.010784618,4610428.090489308,1119651.0577808078,1101306.9031217147,4477561.081945301,3882893.8063789024,3085006.4670550902,1445254.7479977552,723979.6409324736,2179804.181624664,1496686.1800209149,1302026.1864104148,1060693.034591939,1362481.094185671,1853108.7149452246,1747079.7245523205,1393840.427037563,1556929.593676365,1508379.8183399583,1345628.7195008264,672628.9407067983,886678.5954793519,837938.9288058934,1024933.8344261863,647838.9270153482,1048750.2506464105,947131.2667055818,1303874.8971606875,899420.0917921127,1270291.718941582,970667.0496420824,1447545.1650907104,1766722.5157954742,2126302.729150549,1485443.4803579508,1557666.421135006,696757.1434547123,710996.2511143222,1073994.49927794,1194732.974686615,1555712.6706406174,1001592.9701134346,1048363.686333533,1199391.3821508442,1386449.3414184276,1358942.7591327603,1771889.0765705989,1463049.2473995124,970651.8244146457,1588163.1623895192,1768597.692236045,1376517.7501035333,672299.5152547243,699997.596791389,1058769.660037614,1447791.9792010759,1890128.765459278,1225220.0687004717,1160013.691819736,1280619.9378490765
PQR,1235761.6272614403,1355056.8730837496,1771568.6665123757,1478844.3177409943,1324720.5972257874,1332191.089451955,1160452.6812562938,1114700.909756859,1411139.9597304445,1070162.0910115824,3833284.6139770015,1462949.906366481,1473428.3517089686,1151113.5089067305,1197696.922876619,1695896.6418736887,1285663.4653001023,1490940.220967994,2158271.5107381674,3338058.8268693653,2518204.8308438915,1792306.6201285727,1582929.3988397631,1685110.9670576653,1798240.1817899554,1934979.5541031081,2131597.017231436,2207403.9629493044,2446309.1706508077,2118916.4510658737,3055262.508965278,2923321.2036703643,3403321.4143266394,1307216.504195678,1856802.822488992,2095703.8244664576,1138451.208870421,1560154.3135404347,1775643.7784207806,2013990.6284769569,2159545.9080572235,1788739.4645771573,1945757.1012990996,3063986.410786876,2701499.0399570493,1288545.0565149458,1416917.5943268405,2010710.3913875069,2717430.425157089,3072059.8053827276,2753346.303259978,2901549.5346964328,2427756.971641392,987393.5432520638,1142444.7272685356,2602282.772484192,2499119.708830852,2001927.6438610163,1877072.758704073,1824366.9696017494,1789783.33717574,1829693.7087644099,3944087.100618428,2571894.5051687118,1521675.731895528,1426799.4434693886,1951543.931183144,1590242.658193924,1790941.4881393344,1421131.73104247,1596781.1181965678,2717796.2518022116,2596388.1066698674,1517230.2015123316,1449201.2418233543,0.0,1507628.8632227227,1668091.7369426806,912615.8323565022,910924.6789743726,1603144.1699815278,1841515.6170635573,1588532.6506481948,1934543.6117644913,1808969.0169824173,1797815.753629693,1870903.9412035646,1607039.1570627338,4681322.2048717905,1007264.2107417963,1055579.9840622905,4672571.337746713,3759552.201380534,3722189.0095876288,1779306.0526478407,1246233.4846654132,2241306.020857626,2063508.0446696351,1912235.0682850569,1890718.907209236,1958423.6020567506,2199416.665993263,2155432.03117309,1970562.9791611712,2027599.509568705,2130014.063300701,1919175.5356110828,1523217.4054327682,1352498.2277994263,1358286.833075891,1477904.5382974136,1232910.2850499295,1240943.2358342628,1583047.9981160762,1957581.2735673927,1320889.5636165375,1530773.5650929364,1684333.7491898444,2173379.3193324497,2259815.273304992,2357868.3140323204,2361656.363511773,2327355.9293742385,1537369.2136865507,1813620.3201035112,1685223.8735660017,1929965.8445014777,2115464.52961125,1611092.0638216322,1607699.6966303247,1805962.5091302355,1945808.3790201806,2029631.369714541,2177572.415073776,2024630.9690715086,1343814.8327342758,1750094.4983460463,1620027.11873117,1681362.8143847797,1199964.2363612722,1217758.1476230975,1446585.9868450996,1782784.6739268813,2236408.458672749,1610519.6891396341,1387322.7893114223,1646781.6028859792
PVCL,1040442.0275900487,1354454.0601626048,1564792.5378813904,1361118.4584266953,1202672.8324144573,1285314.1198377912,971846.1044364613,1038090.0439096837,1703290.3081158532,1614199.3934878493,4129896.1004532855,1418754.2333553352,1377387.098897619,996292.6377184022,1054575.6049672524,1240278.6485631398,1118348.6742433459,1566448.6066293642,2126315.806882732,3358560.605231332,2453232.8976803557,1763470.59646098,1250895.7512803222,1536695.7903394776,1678586.761061666,1786501.1552063194,1995546.4542233122,2092495.364891202,2343055.5622370755,2006150.8758357477,3010234.3220534017,2974566.075358096,3505483.294028571,978683.2197563328,1612550.2479328744,1714196.5780848274,969111.4899248402,1013373.0567506648,1272104.4044707795,1969079.270286679,1778706.9191373417,1838544.5580858383,2046985.2135009156,3189821.1561160083,2775743.370725002,1164416.36329781,1314776.8122478493,1935711.5372945298,2899305.889871625,3421371.520232259,2930917.4983204072,3089243.3051777873,2348442.2183996346,905203.0289494366,1028963.2823983076,2509240.255590109,2448394.259626333,2047921.9639587128,1967506.5049590718,1690607.2174203913,1658784.3374781471,1825392.1849379751,3954492.5116051827,2305709.8061936344,1174172.1266714374,1115184.5850077616,1963993.8317397174,1459623.1317209988,1812385.6677334933,1488397.1152434053,1544248.6845942484,3011139.6787313297,2856569.7096421053,1502155.8681232978,1473736.249702839,1507628.8632227227,0.0,1153976.7837366045,948477.7082103684,1053706.5582739112,2086234.4635818193,2281122.2785707912,1552301.6692767192,1850929.7390622518,1328837.6414811604,1979744.766030583,2069393.8690802087,1635957.5502470802,4912975.784115736,1077961.7905127434,933894.7693850878,5105117.134664255,4235097.4936745595,3553101.3547569485,1693436.4105609288,1136414.4052895885,2458187.600472247,1983859.9568798186,1822930.9863718904,2054627.2435462482,2173164.1402906734,2094346.204877299,1946307.3536776993,1940582.6564866228,2179916.459947289,2044685.1897434297,1789731.3908592754,1488812.0141726644,1565565.827467775,1227170.4837956065,1322793.395861195,1086485.3217715027,1388286.8316020884,1522507.5771907303,1918459.6641677488,1288687.2034082995,1552881.9417253167,1607363.1485880692,2122399.2080069985,2397496.3853915622,2633551.127947461,2246873.9905969948,2287265.896482449,1426096.148884639,1695653.1749723966,1669936.290244845,1968478.7138556344,2197920.291380587,1589463.4576439252,1445087.11258603,1679933.5134829045,1939147.5606810586,1944166.9983163043,2275734.330567925,2087281.385143101,920157.9709589538,1442307.5550412347,1435312.4285579198,1206156.8736059605,982109.5917051206,938924.3668075987,1053974.478132229,1262851.0401371175,1684174.8773720413,1468840.788497627,1377737.4558521,1556011.7962851098
PVCR,1069428.8924939036,1615812.3052037635,1617650.2930767527,1527257.2876976598,1321789.367490629,1293452.0204142402,1217141.4608028098,1298407.901169751,1804336.1355315042,1879276.372457457,3984296.889983723,1460214.2250946013,1462059.0857995208,1094916.6419722708,1151770.3541311508,1384143.4774262067,1222000.4419772094,1624804.5439271475,2302156.597815112,3516682.043641915,2554359.6186977075,1796266.4562258604,1295915.2994201193,1610819.497205115,1806826.0688736122,1918406.1858028215,2110218.279388262,2209025.243356622,2460288.6151568172,2124154.0443119076,3196904.4306076216,3056715.3186648996,3573451.854592655,1148698.439138046,1491781.6273080227,1663533.5220933761,1088081.035749673,1041582.960604787,1277321.3270190181,2104162.47675823,1640832.477310583,1897068.2389521166,2136002.5000245315,3183504.191726734,2906452.5115541266,1364495.2587512422,1432197.3905738816,2098870.6742268247,2908859.742394889,3421777.083907152,3175517.469611529,3125627.837273878,2497507.1168096876,1143228.6687055905,1093368.1761260591,2591261.8566318303,2480071.455298869,2087369.0597656944,2138412.4386871434,1810874.38367341,1779051.5037311655,1778185.3454706473,4073732.040476087,2264131.5528988047,1205168.3238614013,1200985.0785055312,2119266.5888914485,1790599.216736729,1746636.4855836476,1590877.901415953,1597487.0937111778,3006058.529901084,2848116.650565131,1667010.1775031432,1675191.9796599753,1668091.7369426806,1153976.7837366045,0.0,1171698.7860601316,1169564.9957344758,2404152.5859591076,2358377.525047786,1734187.1140983342,1862679.3644950525,1162369.1222119345,1582232.823934053,2228876.4050139105,1676513.2716191947,5249877.327335781,1154641.8402855818,1139025.8405379602,5310251.499920506,4520504.520389784,3808547.2172559877,1723207.1224505005,1272777.877499993,2206325.0581360147,1986380.310477356,1870072.7947358442,2217171.6184714413,2337832.8767059315,2205664.2968616188,2052139.7943436317,2091223.8550762886,2255904.774647548,2199556.8332541143,1985176.9439310692,1663321.9334864,1734033.1916572344,1366691.366349767,1560061.872412789,1213427.4445887443,1555325.3297239037,1676698.5249322334,2085512.2603443498,1440804.5855666413,1547374.5062899874,1769957.692128448,2315407.4654634744,2645781.1626398577,2789943.523723576,2373032.2442270294,2331998.6392816133,1562031.9107318772,1836851.4620138465,1922821.8338718226,2021176.4853168563,2247221.0575758577,1735477.7406655229,1575513.476289395,1799896.510587896,2068942.6230530434,2059658.3617920256,2411047.0449995613,2208152.863541378,1049904.8690448918,1758370.4522387602,1661139.7248286908,1318827.6367829323,1056680.4440403515,1033796.7367586532,1163062.904503966,1335393.6616493384,1721425.0007680971,1578733.7166916905,1530205.4600036219,1460367.2216741538
PVDL,474468.3467952288,774740.61476606,1387224.5359187827,1189588.490194079,553755.725770225,678802.4839457076,473991.03900891833,495520.7561436292,1234411.4257188446,1262115.271680526,3493108.960300455,741291.6420227851,743805.7221511699,298444.952645256,365207.5131119097,868395.0322475842,431486.3402977759,906443.7013825432,1423409.7725832893,2659619.9889076264,1739257.1456075069,1080036.952844317,754444.3628920582,999372.0112425725,994309.365530613,1103883.8563398228,1294285.9158341796,1399014.4642884969,1654952.5677773023,1315082.951501121,2514610.5793635626,2432966.6686938456,2970405.761789332,587047.4201050994,1397282.1107994427,1530586.8163033507,277061.89460001886,759013.8660386081,1135453.2122003655,1449725.216171107,1460139.5037536677,1147837.9113988176,1347740.8740601663,2531181.1241018376,2095475.5468536976,496586.09642330784,627268.7365187852,1302896.6018740437,2280209.261810816,2779402.838666851,2465490.2896258323,2405491.0851883166,1649864.2030290817,473877.97382796503,548415.6076460187,1881657.7524715436,1885006.145288343,1324124.5866652222,1295519.8809986978,995722.4395830276,963457.3161119597,1129079.9652845608,3582925.113151976,2109448.67629621,680019.7008384906,607061.5459950308,1369983.7982048993,1021337.4783566137,1216874.5046560077,833191.5573558458,836033.3924588852,2290411.7677148287,2163706.6048577805,841346.797257452,825612.478610608,912615.8323565022,948477.7082103684,1171698.7860601316,0.0,392265.7505852058,1560509.977427956,1731274.1925694926,956852.3169724417,1157755.1374495754,1113241.659246402,1279153.1899320781,1445593.479626269,936233.6253470953,4753274.116521058,637570.6921252226,567524.584852172,4661456.428206743,3780892.861341745,3057624.360268551,1103889.146749127,465777.3717937373,1929705.619319846,1380985.1976479562,1179270.5974827947,1372640.4226137034,1489567.958626734,1576698.448884417,1480264.0945435297,1380773.435199633,1619026.5824261373,1411679.9469016083,1190182.992357857,829293.6780658726,913320.1200773728,565993.7471031405,738202.082077344,398979.05036156386,894736.0857930577,863884.4329668371,1303982.9705235185,672010.1808191445,967084.693962723,956344.4859034715,1519683.3328860889,1837263.9373032467,2044095.538164245,1547330.7524074286,1544974.9259429732,760382.4341147501,1033504.6923677213,1087844.5398971757,1316662.0377273583,1573603.50140293,996388.0269165912,762218.1052149833,985048.7356455415,1219177.0692941195,1231089.6047732695,1593098.0305299144,1341536.0861152096,564756.0356740165,1160500.7440779028,1427172.8176139267,1029253.4424824725,351723.2312785164,375293.8955249803,744423.6382685503,1133417.6147399691,1632123.1163006308,915927.1256716726,899739.4084598225,987379.2435087212
PVDR,633315.9859605695,897530.8083112856,1357992.5134903758,1291442.6568162218,728968.3937515165,812174.4465083724,585342.1539377678,569571.4282870183,1182737.2733659614,1087813.522997469,3447661.5237863706,938883.8348300689,910041.5443535412,504861.7055870156,568395.7870109946,1058269.896399474,626563.4866812589,1084935.7123205587,1595603.2624269505,2808075.3849410005,1947189.764270289,1278058.6718901081,948863.4068299533,1178250.0858835394,1197890.6840506848,1304980.0151966892,1494714.127227871,1604442.1498827501,1848722.8815175965,1508818.579650141,2641806.8818712533,2564914.8079191493,3043757.4931756686,702338.3809131694,1437793.7099708873,1551912.7629965537,484375.3202111596,935315.5966587693,1213468.0826986276,1619820.3838611378,1595965.4603929047,1314003.596449809,1527787.9463364577,2658332.963559488,2206134.09860159,673708.4917006802,819520.5808603362,1486231.4515787133,2306732.2075225557,2775235.409353359,2426452.6142542455,2547417.5761687187,1840379.5794800844,539088.0595510291,571527.9128996574,2064643.6068421414,1995119.448509371,1475810.5096113374,1399852.3880081445,1203339.8106631562,1171342.7958697488,1347501.5675001508,3587781.50887755,2163279.555737192,865358.507836966,802574.6426303185,1493498.4809923912,1173134.7908997464,1280282.0740609767,986206.8290798935,1020396.5391121943,2367936.8684311863,2280196.6189775746,1009044.8466421819,937939.3802563846,910924.6789743726,1053706.5582739112,1169564.9957344758,392265.7505852058,0.0,1574541.9594014871,1756812.6642850838,1124738.4754011645,1367420.267793145,1193970.999706062,1287983.2637801466,1465895.9376748214,1127722.8758302152,4756627.820431268,674542.1664367403,679630.744464361,4685919.260561614,3768046.8111215383,3216552.9300688575,1270267.5875771316,654884.0542774961,1847544.1325496987,1544851.055886129,1331138.69507329,1476587.5791145123,1591140.1618440638,1708961.4541011,1621715.9767074254,1483725.3490278912,1590505.082977871,1559188.2183103592,1352122.604309217,976450.923212984,995619.9293921713,748000.3429026612,901725.8412400348,589135.8302483847,913660.3023499536,1010466.2915117376,1437958.8098490355,783090.5126174884,1039120.1159143395,1097278.0648344767,1652977.191685566,1883265.5656338267,2042372.3462884477,1748548.641504079,1721658.6473124418,947026.73317251,1208780.419276061,1230891.2235274836,1416912.9776523318,1602309.7607027397,1082843.4620875244,967404.3976952466,1179901.9515697642,1428874.1363736044,1434350.9129506792,1741500.677517879,1534528.8705111928,721282.4985926432,1242702.964940412,1486224.425080513,1118147.959276172,545888.347702011,566374.8632823161,899006.4289957153,1269451.2751905269,1741485.3878607217,1066959.1585795742,1022536.7676918608,1171399.146215288
PVNL,1779067.4420552698,1823347.9866369958,2472552.9691260997,2393878.3309259126,1693193.419119333,1625790.423987062,1843220.181570265,1767748.6591407757,1906151.504057937,1465374.798133011,4031964.137533244,1871393.8719445702,1889508.588768724,1687997.2630918028,1734656.321027957,2216252.654074923,1791914.3256827246,1941841.4136196657,2337843.2279221253,3707945.1702563586,3016231.2531340253,2201919.757074434,2071375.6383682068,2182689.133436137,2245466.2135620904,2409982.3962718486,2581168.1683900445,2645677.5121805565,2808678.8580181757,2580327.749269901,2746187.444749274,2828622.0251965546,3312701.3978593037,1933096.0940785122,2340945.6069278494,2653420.793978417,1675610.1467016363,2116505.05169495,2162180.1353476015,2370050.9769603596,2653375.7230049856,2204395.1532001793,2354778.2931464585,3215833.188936606,2829496.9889150667,1760314.3829465143,1906916.0502547636,1761688.265815271,2712719.884187803,3017649.383963489,2585837.6832862827,3047877.9912144137,2818535.387665138,1706661.90926841,1805605.8388181382,2649271.046300404,2541458.836575212,2358106.643392998,2222799.5642288164,2315709.4968442735,2213772.817841847,2265833.0301937163,3714727.976510726,2665147.2778470507,2084831.0737284778,1963560.4461731492,2166589.175268144,1912677.8829560888,2181988.116248967,1711149.9669206578,1943444.353272701,2693034.0578836263,2402608.664322899,1613702.4635573023,1751095.0413794448,1603144.1699815278,2086234.4635818193,2404152.5859591076,1560509.977427956,1574541.9594014871,0.0,1827116.515982306,2042519.1466177623,2346315.7390863397,2392010.371819728,2271782.315807747,2375703.700191204,1963062.6422618127,4476715.931034765,1791518.9609847877,1768755.708496158,4369832.826995535,3697768.9068815075,4007129.6620622263,2373663.792592975,1683304.2886315999,2372602.2016711235,2431375.466700544,2321712.995794239,2088783.494475363,2166864.8297299854,2750472.253714779,2631795.0229169345,2092905.6199565916,1928405.1683004913,2432921.082505031,2245196.731940859,1779890.6418968553,1683195.0919292562,1867783.862074147,1915866.4794372707,1714845.1095872498,1522852.223560656,1831157.6307365212,2056913.6903841472,1668079.0399374128,2025819.809543655,1908922.996026626,2217274.5926985843,2170255.009248965,2358544.6813356397,2570677.624648812,2620408.892512467,1812481.8902673277,2061891.1890099985,1541197.9507209905,1849972.7930055924,2400751.456783953,1751574.0434553423,2123490.9216340175,2282437.638057394,2370581.804125968,2444564.591106483,2633949.2920072195,2417307.631949388,1976130.5932909863,2169296.0312617524,2304317.78614024,2275567.65866964,1755315.951064718,1769074.1898761832,2098515.111493005,2464931.2118601794,2760899.6174893067,2080250.3489633957,1899688.057719582,1986658.8690344833
